idx,run,type,label1,sublabel1,label2,image,file,x,y,frequency-across-4runs,aspectratio
150,3,double,number,numbersingle,place,S13-E1603_02820.png,S13-E1603_02820.png,237,175,1,2
151,3,double,number,number,word,S31-E3885_02041.png,S31-E3885_02041.png,253,182,1,2
152,3,double,number,numbersingle,word,S41-E4226_03306.png,S41-E4226_03306.png,210,173,1,3
153,3,double,place,place,face,S39-E4173_01924.png,S39-E4173_01924.png,318,145,1,3
154,3,double,place,place,face,S13-E1585_00894.png,S13-E1585_00894.png,422,83,1,2
155,3,single,place,place,none,S45-E4504_02098.png,S45-E4504_02098.png,350,230,1,3
156,3,single,place,place,none,S46-E4605_00850.png,S46-E4605_00850.png,143,143,1,3
157,3,single,place,place,none,S46-E4605_01382.png,S46-E4605_01382.png,273,208,1,3
158,3,single,place,place,none,S47-E4713_01122.png,S47-E4713_01122.png,325,154,1,3
159,3,none,none,none,none,s005.png,s005.png,380,500,4,1
160,3,none,none,none,none,s006.png,s006.png,380,844,4,1
161,3,single,place,place,none,S34-E4033_02868.png,S34-E4033_02868.png,222,231,4,2
162,3,single,place,place,none,S40-E4208_03086.png,S40-E4208_03086.png,320,200,4,3
163,3,single,place,place,none,S40-E4209_01810.png,S40-E4209_01810.png,385,212,4,3
164,3,double,place,place,number,S43-E4318_01934.png,S43-E4318_01934.png,345,190,1,3
165,3,double,place,place,number,S46-E4609_01407.png,S46-E4609_01407.png,301,314,1,3
166,3,double,place,place,word,S39-E4179_00071.png,S39-E4179_00071.png,215,192,1,3
167,3,double,place,place,word,S45-E4515_01308.png,S45-E4515_01308.png,297,189,1,3
168,3,double,word,wordletter,face,S38-E4149_01575.png,S38-E4149_01575.png,200,135,1,2
